[Item Stats]|en|ru
buff_life_replenish|Life Replenish by|Восполнение здоровья на
buff_mana_replenish|Mana Replenish by|Восполнение маны на
buff_magic_damage_reduction|Magic Damage taken reduced by|Получаемый маг. урон снижен на
buff_physical_damage_reduction|Physical Damage taken reduced by|Получаемый физ. урон снижен на
buff_damage_reduction|Damage taken reduced by|Получаемый урон снижен на
buff_damage_taken_mana|Damage taken converted into mana|Получаемый урон переходит в ману
buff_cast_rate|Cast Rate Increased by|Скорость каста увеличена на
buff_immortality|Immortality|Бессмертие
buff_freeze|Freeze Duration|Длительность заморозки
buff_slow|Slow Duration|Длительность замедления
buff_dodge|Dodge Increased by|Уклонение увеличено на
buff_stun|Stun Duration|Длительность оглушения
buff_damage_return|Damage Returned to attacker|Возврат урона атакующему
buff_strength|Strength Increased by|Сила увеличена на
buff_dexterity|Dexterity Increased by|Ловкость увеличена на
buff_energy|Energy Increased by|Энергия увеличена на
buff_armor|Armor Increased by|Броня увеличена на
buff_vitality|Vitality Increased by|Живучесть увеличена на
buff_experience_gain|Experience Gained Increased by|Получаемый опыт увеличен на
buff_magic_find|Magic Find Increased by|Поиск магических предметов увеличен на
buff_extra_gold|Extra Gold from kills|Золото за убийства
buff_all_skills|All Skills Increased by|Все умения увеличены на
buff_additive_physical_damage|Physical Damage Increased by|Физический урон увеличен на
buff_physical_damage|Physical Damage dealt|Наносимый физический урон
buff_skill_damage|Magic Skill Damage Increased by|Урон магических умений увеличен на
buff_additive_fire_damage|Additive Fire Damage Increased by|Урон огнем увеличен на
buff_fire_damage|Fire Damage dealt|Наносимый урон огнем
buff_fire_skill_damage|Fire Skill Damage Increased by|Урон умений огня увеличен на
buff_additive_cold_damage|Additive Cold Damage Increased by|Урон холодом увеличен на
buff_cold_damage|Cold Damage dealt|Наносимый урон холодом
buff_cold_skill_damage|Cold Skill Damage Increased by|Урон умений холода увеличен на
buff_additive_lightning_damage|Additive Lightning Damage Increased by|Урон молнией увеличен на
buff_lightning_damage|Lightning Damage dealt|Наносимый урон молнией
buff_lightning_skill_damage|Lightning Skill Damage Increased by|Урон умений молнии увеличен на
buff_additive_poison_damage|Additive Poison Damage Increased by|Урон ядом увеличен на
buff_poison_damage|Poison Damage dealt|Наносимый урон ядом
buff_poisoned_damage|Poisoned Damage dealt|Наносимый урон от отравления
buff_poison_skill_damage|Poison Skill Damage Increased by|Урон умений яда увеличен на
buff_additive_magic_damage|Additive Arcane Damage Increased by|Урон тайной магии увеличен на
buff_magic_damage|Arcane Damage dealt|Наносимый урон тайной магии
buff_magic_skill_damage|Arcane Skill Damage Increased by|Урон умений тайной магии увеличен на
buff_fire_resistance|Fire Resistance Increased by|Сопротивление огню увеличено на
buff_cold_resistance|Cold Resistance Increased by|Сопротивление холоду увеличено на
buff_lightning_resistance|Lightning Resistance Increased by|Сопротивление молнии увеличено на
buff_poison_resistance|Poison Resistance Increased by|Сопротивление яду увеличено на
buff_magic_resistance|Arcane Resistance Increased by|Сопротивление тайной магии увеличено на
buff_all_resistances|All Resistances Increased by|Все сопротивления увеличены на
buff_all_resistances_reduced|All Resistances Decreased by|Все сопротивления снижены на
buff_multicast|Cast times increased by|Количество повторных применений увеличено на
buff_bleed_damage|Bleeding damage |Урон от кровотечения
buff_homing_projectiles|Homing Projectiles|Самонаводящиеся снаряды
buff_arcane_break|Arcane Break|Пробивание сопр. тайной магии
buff_phasing|Phasing|Прохождение сквозь врагов
buff_critical_damage|Critical Strike Damage Increased by|Критический урон увеличен на
buff_increased_damage_burning|Damage to Burning targets Increased by|Урон по горящим целям увеличен на
buff_increased_damage_bleeding|Damage to Bleeding targets Increased by|Урон по кровоточащим целям увеличен на
buff_increased_damage_poisoned|Damage to Poisoned targets Increased by|Урон по отравленным целям увеличен на
buff_all_damage|All damage dealt Increased by|Весь наносимый урон увеличен на
buff_meteor_storm|Meteor Storm Level|Уровень «Метеоритного шторма»
buff_loot_slots|Loot Amount increased by|Количество добычи увеличено на
buff_gold_drops|Gold from monster kills increased by|Золото за убийство монстров увеличено на
buff_heroic_chance|Heroic Item drop chances increased by|Шанс выпадения героических предметов увеличен на
buff_angelic_chance|Angelic Item drop chances increased by|Шанс выпадения ангельских предметов увеличен на
buff_ancient_relic|Ancient monsters have a chance to drop a Relic when killed|Древние монстры могут оставить реликвию после смерти
buff_ancient_goblin|Ancient monsters have a chance to summon a Treasure Goblin when killed|Древние монстры могут призвать алчного гоблина после смерти
buff_recovery|All Recovery increased by|Восстановление всех ресурсов увеличено на
buff_enemy_miniboss|Monsters have a chance to re-spawn as a Legion|Монстры имеют шанс возродиться как Легион
buff_ancient_pack|Chance to spawn Ancient packs|Шанс появления групп древних монстров
buff_angels_embrace|Angel’s Embrace|Объятия ангела
buff_key_chance|All Key drop chances increased by|Шанс выпадения всех ключей увеличен на
buff_all_attributes|All Attributes increased by|Все характеристики увеличены на
buff_summon_attack_speed|Summon Attack Speed increased by|Скорость атаки прислужников увеличена на
buff_disabled|Skill Disabled|Умение отключено
buff_rune_chance|Rune Drop Chances Increased by|Шанс выпадения рун увеличен на
buff_jump_power|Jumping Power Increased by|Сила прыжка увеличена на
buff_card_collector|Monsters have a chance to drop a Tarot Deck when killed.|Монстры могут оставить колоду Таро после смерти.
buff_relic_feast|Chance to drop a relic on monster kill|Шанс выпадения реликвии при убийстве монстра
buff_spelunker|Chance to spawn an ore node on ancient monster kill|Шанс появления рудной жилы при убийстве древнего монстра
buff_incarnation|Incarnation experience gained from monster kills|Опыт воплощения за убийство монстров
buff_rift|Increased chance of dropping unstable dust from monster kills|Увеличен шанс выпадения нестабильной пыли с монстров
buff_chaos|Chance to spawn a rogue Chaos Tower in the map|Шанс появления блуждающей Башни Хаоса на карте
buff_disarm|Disarmed|Разоружение
buff_disarmed|Unable to cast or attack|Вы не можете атаковать или использовать умения
buff_mimic|Increased chance to spawn mimics from chests|Увеличен шанс появления мимиков из сундуков
buff_density|Increases pack size by|Размер групп врагов увеличен на
||
||
debuff_light_radius|Light Radius Decreased by|Радиус освещения уменьшен на
debuff_all_resistances|All Resistances Decreased by|Все сопротивления снижены на
debuff_damage_taken|Damage Taken increased by|Получаемый урон увеличен на
debuff_life|Life decreased by|Здоровье уменьшено на
debuff_mana|Mana decreased by|Мана уменьшена на
debuff_darkness|Darkness increased by|Тьма усилена на
debuff_all_skills|All Skills decreased by|Уровень всех умений снижен на
debuff_all_attributes|All Attributes decreased by|Все характеристики снижены на
debuff_replenish|Life and Mana replenish decreased by|Восполнение здоровья и маны снижено на
debuff_life_steal|Life Steal decreased by|Похищение здоровья снижено на
debuff_mana_steal|Mana Steal decreased by|Похищение маны снижено на
debuff_cooldown|Cooldown Recovery reduced by|Скорость перезарядки умений снижена на
debuff_boulder_fall|Monsters have a chance to drop a boulder from the sky when killed|При смерти монстров с небес может упасть валун
debuff_movement_speed|Movement Speed decreased by|Скорость передвижения снижена на
debuff_monster_life|Monster life increased by|Здоровье монстров увеличено на
debuff_necrosis|Life drained every second by|Здоровье истощается каждую секунду на
debuff_poison_length|Poison Length increased by|Длительность отравления увеличена на
debuff_flaming_agony|Monsters unleash a Fire Nova when killed dealing fire damage of|При смерти монстры выпускают огненное кольцо, наносящее урон огнем
debuff_unholy_agility|Monster Movement Speed and Attack Speed increased by|Скорость передвижения и атаки монстров увеличена на
debuff_block|Block Rating reduced by|Рейтинг блока снижен на
debuff_hemorrhage|Monster attacks inflict a bleed that stacks 20 times dealing damage per stack of|Атаки монстров вызывают кровотечение (суммируется до 20 раз), наносящее урон за заряд
debuff_crippling_slow|Monster attacks inflict a slow for 2 seconds by|Атаки монстров замедляют на 2 сек. на
debuff_monster_crit|Monster Critical Strike Damage increased by|Критический урон монстров увеличен на
debuff_lifesap|Lifesap|Вытягивание жизни
debuff_lifesap_effect|All healing reduced by|Получаемое исцеление снижено на
debuff_agony|Agony|Агония
debuff_agony_effect|All Resistances decreased by|Все сопротивления снижены на
debuff_curseOfAmunRa|Curse of Amun Ra|Проклятие Амона-Ра
||
[Difficulty Settings]||
difficulty_resistances|Monster Resistances|Сопротивления монстров
difficulty_leechResistance|Monster Leech Resistance|Сопротивление монстров похищению
difficulty_magicFind|Increased Magic Find|Увеличенный шанс найти маг. предметы(MF)
difficulty_experienceGain|Increased Experience Gain|Увеличение получаемого опыта
difficulty_life|Monster Life|Здоровье монстров
difficulty_damage|Monster Damage|Урон монстров
difficulty_attackRating|Monster Attack Rating|Рейтинг атаки монстров
difficulty_defenseRating|Monster Defense Rating|Рейтинг защиты монстров
||
[Satanic Buffs]||
satanicBuffLootSlots|Loot Goblin|Гоблин-барахольщик
satanicBuffRuneDrops|Rune Master|Мастер рун
satanicBuffGoldDrops|Gold Hunger|Золотая лихорадка
satanicBuffHeroicChances|Heroic Windfall|Героическая удача
satanicBuffAngelicChances|Angelic Fortune|Ангельская удача
satanicBuffMovementSpeed|Zephy’s Grace|Милость Зефира
satanicBuffAttackSpeed|Fury of Tempest|Ярость бури
satanicBuffCastRate|Rapid Casting|Быстрое колдовство
satanicBuffAttackDamage|Onslaught|Натиск
satanicBuffSkillDamage|Nether Surge|Всплеск Бездны
satanicBuffAncientRelic|Relic Keepers|Хранители реликвий
satanicBuffAncientGoblin|Goblin’s Greed|Гоблинская жадность
satanicBuffMagicFind01|Artifact Digger|Добытчик артефактов
satanicBuffMagicFind02|Artifact Seeker|Искатель артефактов
satanicBuffMagicFind03|Artifact Excavator|Раскопщик артефактов
satanicBuffExperience01|Recruit|Рекрут
satanicBuffExperience02|Combat Training|Боевая подготовка
satanicBuffExperience03|Battle Scarred|Закаленный в боях
satanicBuffRecovery|Clairvoyance|Ясновидение
satanicBuffEnemyMiniboss|Aftermath|Последствия
satanicBuffCriticalStrike|Deep Cuts|Глубокие раны
satanicBuffAncientMonster01|Old Town|Старый город
satanicBuffAncientMonster02|Terror Zone|Зона ужаса
satanicBuffAncientMonster03|Fields of Carnage|Поля резни
satanicBuffCardCollector|Card Collector|Коллекционер карт
satanicBuffRelicFeast|Relic Feast|Пир реликвий
satanicBuffSpelunker|Spelunker|Спелеолог
satanicBuffRift|Riftwalker|Странник Разломов
satanicBuffIncarnation|Incarnated|Воплощенный
satanicBuffChaos|Land of Chaos|Земля Хаоса
satanicBuffMimic|Mimicry|Мимикрия
satanicBuffDensity|Chaos Density|Плотность Хаоса
||
[Satanic Debuffs]||
satanicDebuffLightRadius|Dusk’s Shroud|Саван сумерек
satanicDebuffAllResistances|Elemental Erosion|Стихийная эрозия
satanicDebuffDamageTaken|Sundered Armor|Расколотая броня
satanicDebuffLife|Vitality Drain|Истощение живучести
satanicDebuffMana|Essence Drain|Истощение сущности
satanicDebuffDarkness|Abyssal Gloom|Мрак Бездны
satanicDebuffAllSkills|Skill Debilitation|Ослабление умений
satanicDebuffAllAttributes|Weakening Essence|Ослабляющая сущность
satanicDebuffRegen|Lifeflow Starvation|Иссушение жизненных сил
satanicDebuffLifeSteal|Sanguine Impairment|Кровавый недуг
satanicDebuffManaSteal|Arcane Impairment|Чародейский недуг
satanicDebuffCooldown01|Consumed Time|Поглощенное время
satanicDebuffCooldown02|Absolute Limbo|Абсолютный лимб
satanicDebuffBoulderFall|Boulder Fall|Камнепад
satanicDebuffMovementSpeed|Lingering Evil|Гнетущее зло
satanicDebuffMonsterCrit|Fatal Wounds|Смертельные раны
satanicDebuffMonsterLife01|Bloated Veins|Вздутые жилы
satanicDebuffMonsterLife02|Abnormal Dwelling|Аномальное естество
satanicDebuffMonsterLife03|Colossal Bloating|Колоссальное вздутие
satanicDebuffNecrosis|Necrosis|Некроз
satanicDebuffPoisonDuration|Venomous Presence|Ядовитое присутствие
satanicDebuffFlamingAgony|Flaming Agony|Пламенная агония
satanicDebuffMonsterSpeed|Unholy Agility|Нечестивая ловкость
satanicDebuffBlockDisabled|Broken Armor|Разбитая броня
satanicDebuffStackedBleeding|Hemorrhage|Кровоизлияние
satanicDebuffCripplingSlow|Crippling Slow|Парализующее замедление
||
[Unique Buffs]||
buff_turret_damage|Turret Damage Increased by |Урон турелей увеличен на
buff_turret_attack_speed|Turret Attack Speed Increased by |Скорость атаки турелей увеличена на
buff_suffering|Suffering |Страдание
buff_poison_damage_per_second|Poison Damage per second.|Урон ядом в секунду.
buff_burning_damage_per_second|Burning Damage per second.|Урон от горения в секунду.
buff_bleeding_damage_per_second|Bleeding Damage per second.|Урон от кровотечения в секунду.
buff_damage_taken_increased|Damage taken Increased by |Получаемый урон увеличен на
buff_paralyzed|Paralyzed, unable to attack or cast.|Паралич: вы не можете атаковать или использовать умения.
||
[Augments]||
augment|Augment|Улучшение
per_level|per level|за уровень
per_point|per point|за очко
||
[Misc]||
spell_type_chainlightning|Chain Lightning|Цепная молния
spell_type_explosion|Explosion|Взрыв
tower_reward_chest|Tower Reward Chest|Сундук с наградой Башни
item_dropped_by_mf|of Fortune|Удачи
item_unique_equipped|Unique Equipped|Уникальный используемый
item_cloned|Mirrored|Отраженный
unidentified|Unidentified|Неопознанный
identify|Right Click to Identify|ПКМ для опознания
identify_mobile|Double Tap to Identify|Дважды коснитесь для опознания
identify_gamepad|Press [input_gamepad,0] to Identify|Нажмите [input_gamepad,0] для опознания
receives_bonuses|Receives Bonuses From:|Получает бонусы от:
aura_self|Holder Only|Только для владельца
castProc|Cast|При сотворении заклинания
attackProc|Attack|При атаке
scales_from|Scales from|Масштабируется от
cast|Cast|Сотворение заклинания
show_loot_info|Show Information|Показать информацию
gem|Gem|Самоцвет
jewel|Jewel|Драгоценный камень
orb|Orb|Сфера
skill_summon|Summon|Призыв
skill_sentry|Sentry|Турель
skill_explosion|Explosion|Взрыв
skill_guardian|Guardian|Страж
unbreakable_desc|Cannot be prospected|Нельзя разобрать
scaling|scaling|Прирост
base|Base|Базовый
quality|Quality|Качество
node_rich|Rich|Богатая
node_overflowing|Overflowing|Переполненная
spiderling|Spiderling|Паучок
satanic_zone|Satanic Zone|Сатанинская зона
drop_chance|Drop Chance|Шанс выпадения
floor_cleared|Floor Cleared|Этаж зачищен
gold_spent|Gold Spent|Потрачено золота
gamble_for|Gamble for|Попытать удачу:
bpToken|Token|Жетон
bpTokens|Tokens|Жетоны
journal|Journal|Журнал
title|Title|Титул
item_cannot_be_sold|Item cannot be sold|Предмет нельзя продать
vault_reap|Reap|Собрать
vault_souls|Souls from |Души из
vault_unlock|Unlock the Essence Vault|Открыть Хранилище Эссенций
vault_locked|Can be unlocked after fulfilling its contract|Можно открыть после выполнения контракта
vault_reward|Rewards when unlocked|Награды при открытии
vault_sealed|Sealed|Запечатано
||
[Tags]||
abilityTagExplosion|Explosion|Взрыв
abilityTagOrbit|Orbital|Орбитальный
abilityTagAoe|Area of Effect|Область действия
abilityTagProjectile|Projectile|Снаряд
abilityTagChaining|Chaining|Цепной
abilityTagMovement|Movement |Передвижение
abilityTagBlink|Blink|Скачок
abilityTagGuardian|Guardian|Страж
abilityTagSummon|Summon|Призыв
abilityTagSentry|Sentry|Турель
abilityTagAura|Aura|Аура
abilityTagBuff|Buff|Усиление
abilityTagAilment|Ailment |Состояние
abilityTagPassive|Passive|Пассивный
abilityTagActive|Active|Активный
abilityTagMelee|Melee|Ближний бой
abilityTagStrike|Strike|Удар
abilityTagRanged|Ranged|Дальний бой
abilityTagSpell|Spell|Заклинание
abilityTagRelic|Relic |Реликвия
abilityTagFollower|Follower|Прислужник
abilityTagQuest|Quest|Задание
||
||
craft_charm|Non Unique Item|Неуникальный предмет
craft_weapon|Any Weapon|Любое оружие
craft_any_item|Any Equipment|Любое снаряжение
craft_roll_sockets|Roll Sockets|Изменить число гнезд
craft_empty_sockets|Empty Sockets|Пустые гнезда
craft_destroy_sockets|Destroy Sockets|Уничтожить гнезда
craft_gypsys_prophecy|Apply Gypsy´s Prophecy|Применить пророчество гадалки
craft_destiny_shard|Apply Destiny Shard|Применить осколок судьбы
craft_prophets_wisdom|Cleanse Corruption|Очистить от порчи
craft_infuse_lesser_dust|Infuse Lesser Unstable Dust|Насытить малой нестабильной пылью
craft_infuse_dust|Infuse Unstable Dust|Насытить нестабильной пылью
craft_infuse_greater_dust|Infuse Greater Unstable Dust|Насытить великой нестабильной пылью
craft_re_roll_charm|Re-Roll Affixes|Перековать свойства(аффиксы)
craft_angelic_augment|Angelic Augment|Ангельское усиление
craft_common_item|Common White Item|Обычный белый предмет
craft_any_satanic|Any Satanic Item|Любой сатанический предмет
craft_any_common|Any Common Item|Любой обычный предмет
craft_any_mythic|Any Mythic Item|Любой мифический предмет
craft_tier_dust|Satanic Crystal Fragment|Фрагмент сатанического кристалла
craft_mythic_dust|Mythic Dust based on Tier|Мифическая пыль (зависит от тира)
craft_weapon_augment_ranger|Random Ranged Weapon Augment|Случайное улучшение оружия дальнего боя
craft_weapon_augment_warrior|Random Melee Weapon Augment|Случайное улучшение оружия ближнего боя
craft_weapon_augment_mage|Random Caster Weapon Augment|Случайное улучшение оружия заклинателя
craft_weapon_augment_level|Weapon Augment Level|Уровень улучшения оружия
craft_glyph|Glyph|Глиф
||
weapon_sword|Sword|Меч
weapon_dagger|Dagger|Кинжал
weapon_mace|Mace|Булава
weapon_axe|Axe|Топор
weapon_claw|Claw|Коготь
weapon_polearm|Polearm|Древковое оружие
weapon_chainsaw|Chainsaw|Бензопила
weapon_staff|Staff|Посох
weapon_cane|Cane|Трость
weapon_wand|Wand|Жезл
weapon_book|Book|Книга
weapon_spellblade|Spellblade|Магический клинок
weapon_bow|Bow|Лук
weapon_gun|Gun|Огнестрельное
weapon_flask|Flask|Флакон
weapon_throwing|Throwing|Метательное
weapon_universal|Novelty|Диковинка
item_bodyarmor|Body Armor|Доспех
item_helmet|Helmet|Шлем
item_shield|Shield|Щит
item_boots|Boots|Сапоги
||
[Achievements]||
satanicItem01_desc|Obtain a Satanic Item|Получить сатанический предмет
satanicItem02_desc|Obtain 50 Satanic Items|Получить 50 сатанических предметов
satanicItem03_desc|Obtain 200 Satanic Items|Получить 200 сатанических предметов
angelicItem01_desc|Obtain an Angelic Item|Получить ангельский предмет
angelicItem02_desc|Obtain 5 Angelic Items|Получить 5 ангельских предметов
angelicItem03_desc|Obtain 10 Angelic Items|Получить 10 ангельских предметов
ancientMonsters01_desc|Kill 5000 Ancient Monsters|Убить 5000 древних монстров
ancientMonsters02_desc|Kill 12500 Ancient Monsters|Убить 12 500 древних монстров
ancientMonsters03_desc|Kill 20000 Ancient Monsters|Убить 20 000 древних монстров
hellGurag_desc|Kill Gurag on hell difficulty|Убить Гурага на сложности Ад
hellReaper_desc|Kill Grim Reaper on hell difficulty|Убить Мрачного Жнеца на сложности Ад
hellAnubis_desc|Kill Anubis on hell difficulty|Убить Анубиса на сложности Ад
hellDamien_desc|Kill Damien on hell difficulty|Убить Дэмиена на сложности Ад
hellKarpKing_desc|Kill Karp King on hell difficulty|Убить Карпа Кинга на сложности Ад
hellSatan_desc|Kill Satan on hell difficulty|Убить Сатану на сложности Ад
hellMevius_desc|Kill Mevius on hell difficulty|Убить Мевиуса на сложности Ад
hellOdin_desc|Kill Corrupted Odin on hell difficulty|Убить Оскверненного Одина на сложности Ад
nightmareGurag_desc|Kill Gurag on nightmare difficulty|Убить Гурага на сложности Кошмар
nightmareReaper_desc|Kill Grim Reaper on nightmare difficulty|Убить Мрачного Жнеца на сложности Кошмар
nightmareAnubis_desc|Kill Anubis on nightmare difficulty|Убить Анубиса на сложности Кошмар
nightmareDamien_desc|Kill Damien on nightmare difficulty|Убить Дэмиена на сложности Кошмар
nightmareKarpKing_desc|Kill Karp King on nightmare difficulty|Убить Карпа Кинга на сложности Кошмар
nightmareSatan_desc|Kill Satan on nightmare difficulty|Убить Сатану на сложности Кошмар
nightmareMevius_desc|Kill Mevius on nightmare difficulty|Убить Мевиуса на сложности Кошмар
nightmareOdin_desc|Kill Corrupted Odin on nightmare difficulty|Убить Оскверненного Одина на сложности Кошмар
normalGurag_desc|Kill Gurag on normal difficulty|Убить Гурага на обычной сложности
normalReaper_desc|Kill Grim Reaper on normal difficulty|Убить Мрачного Жнеца на обычной сложности
normalAnubis_desc|Kill Anubis on normal difficulty|Убить Анубиса на обычной сложности
normalDamien_desc|Kill Damien on normal difficulty|Убить Дэмиена на обычной сложности
normalKarpKing_desc|Kill Karp King on normal difficulty|Убить Карпа Кинга на обычной сложности
normalSatan_desc|Kill Satan on normal difficulty|Убить Сатану на обычной сложности
normalMevius_desc|Kill Mevius on normal difficulty|Убить Мевиуса на обычной сложности
normalOdin_desc|Kill Corrupted Odin on normal difficulty|Убить Оскверненного Одина на обычной сложности
satansHands30sec_desc|Destroy Satan's Hands in less than 30 seconds.|Уничтожить Руки Сатаны менее чем за 30 секунд
uberDamien01_desc|Slay Damien in Fallen Inoya|Убить Дэмиена в Падшей Инойе
uberReaper01_desc|Slay Shadow Reaper in the Shadow Realm|Убить Жнеца Теней в Царстве Теней
uberSungLee01_desc|Slay Sung Lee in the Eternal Battle Fields|Убить Сунга Ли на Полях Вечной Битвы
uberKingRakhul01_desc|Slay King Rakhul in the Chaos Tower|Убить короля Рахула в Башне Хаоса
uberGabriel01_desc|Defeat Gabriel in the Circle of Hatred|Победить Габриэля в Круге Ненависти
uberSungLee05_desc|Slay Sung Lee in the Eternal Battle Fields on the Hell 5 difficulty|Убить Сунга Ли на Полях Вечной Битвы (Ад 5)
uberReaper05_desc|Slay Shadow Reaper in the Shadow Realm on the Hell 5 difficulty|Убить Жнеца Теней в Царстве Теней (Ад 5)
uberDamien05_desc|Slay Damien in Fallen Inoya on the Hell 5 difficulty|Убить Дэмиена в Падшей Инойе (Ад 5)
uberKingRakhul05_desc|Slay King Rakhul in the Chaos Tower on the Hell 5 difficulty|Убить короля Рахула в Башне Хаоса (Ад 5)
uberGabriel05_desc|Defeat Gabriel in the Circle of Hatred on Hell 5 difficulty|Победить Габриэля в Круге Ненависти (Ад 5)
uberSungLeeInferno_desc|Slay Sung Lee in the Eternal Battle Fields on the Inferno difficulty|Убить Сунга Ли на Полях Вечной Битвы (Инферно)
uberReaperInferno_desc|Slay Shadow Reaper in the Shadow Realm on the Inferno difficulty|Убить Жнеца Теней в Царстве Теней (Инферно)
uberDamienInferno_desc|Slay Damien in Fallen Inoya on the Inferno difficulty|Убить Дэмиена в Падшей Инойе (Инферно)
uberKingRakhulInferno_desc|Slay King Rakhul in the Chaos Tower on the Inferno difficulty|Убить короля Рахула в Башне Хаоса (Инферно)
uberGabrielInferno_desc|Defeat Gabriel in the Circle of Hatred on Inferno difficulty|Победить Габриэля в Круге Ненависти (Инферно)
coffeeClub_desc|Join Sarcaster's Coffee Club!|Вступить в кофейный клуб Саркастера!
sheepLevel_desc|Enter the gate's of Sheeponia!|Войти в врата Шипонии!
normalSC_desc|Complete normal difficulty on Softcore|Пройти обычную сложность (Обычный режим)
nightmareSC_desc|Complete nightmare difficulty on Softcore|Пройти Кошмар (Обычный режим)
hellSC_desc|Complete hell difficulty on Softcore|Пройти Ад (Обычный режим)
hellSC05_desc|Complete hell 5 difficulty on Softcore|Пройти Ад 5 (Обычный режим)
normalHC_desc|Complete normal difficulty on Hardcore|Пройти обычную сложность (Героический режим)
nightmareHC_desc|Complete nightmare difficulty on Hardcore|Пройти Кошмар (Героический режим)
hellHC_desc|Complete hell difficulty on Hardcore|Пройти Ад (Героический режим)
hellHC05_desc|Complete hell 5 difficulty on Hardcore|Пройти Ад 5 (Героический режим)
normalSsfSC_desc|Complete normal difficulty on Odyssey Softcore|Пройти обычную сложность в режиме Одиссея (Обычный)
nightmareSsfSC_desc|Complete nightmare difficulty on Odyssey Softcore|Пройти Кошмар в режиме Одиссея (Обычный)
hellSsfSC_desc|Complete hell difficulty on Odyssey Softcore|Пройти Ад в режиме Одиссея (Обычный)
hellSsfSC05_desc|Complete hell 5 difficulty on Odyssey Softcore|Пройти Ад 5 в режиме Одиссея (Обычный)
normalSsfHC_desc|Complete normal difficulty on Odyssey Hardcore|Пройти обычную сложность в режиме Одиссея (Героический)
nightmareSsfHC_desc|Complete nightmare difficulty on Odyssey Hardcore|Пройти Кошмар в режиме Одиссея (Героический)
hellSsfHC_desc|Complete hell difficulty on Odyssey Hardcore|Пройти Ад в режиме Одиссея (Героический)
hellSsfHC05_desc|Complete hell 5 difficulty on Odyssey Hardcore|Пройти Ад 5 в режиме Одиссея (Героический)
infernoSC_desc|Complete inferno difficulty on Softcore|Пройти Инферно (Обычный режим)
infernoSsfSC_desc|Complete inferno difficulty on Odyssey Softcore|Пройти Инферно в режиме Одиссея (Обычный)
infernoHC_desc|Complete inferno difficulty on Hardcore|Пройти Инферно (Героический режим)
infernoSsfHC_desc|Complete inferno difficulty on Odyssey Hardcore|Пройти Инферно в режиме Одиссея (Героический)
monstersKilled100_desc|Slay 100 Monsters|Убить 100 монстров
monstersKilled400_desc|Slay 400 Monsters|Убить 400 монстров
monstersKilled1600_desc|Slay 1600 Monsters|Убить 1600 монстров
monstersKilled6400_desc|Slay 6400 Monsters|Убить 6400 монстров
monstersKilled25400_desc|Slay 25400 Monsters|Убить 25 400 монстров
monstersKilled50000_desc|Slay 50000 Monsters|Убить 50 000 монстров
gold01_desc|Collect 100,000 Gold|Собрать 100 000 золота
gold02_desc|Collect 1,000,000 Gold|Собрать 1 000 000 золота
allHeroes100_desc|Obtain level 100 with Viking, Pyromancer, Marksman, Pirate, Nomad, Redneck and Necromancer|Получить 100 уровень всеми основными героями
level10_desc|Reach Level 10 with a Hero|Достичь 10-го уровня героем
level20_desc|Reach Level 20 with a Hero|Достичь 20-го уровня героем
level30_desc|Reach Level 30 with a Hero|Достичь 30-го уровня героем
level40_desc|Reach Level 40 with a Hero|Достичь 40-го уровня героем
level50_desc|Reach Level 50 with a Hero|Достичь 50-го уровня героем
level60_desc|Reach Level 60 with a Hero|Достичь 60-го уровня героем
level70_desc|Reach Level 70 with a Hero|Достичь 70-го уровня героем
level80_desc|Reach Level 80 with a Hero|Достичь 80-го уровня героем
level90_desc|Reach Level 90 with a Hero|Достичь 90-го уровня героем
level100_desc|Reach Level 100 with a Hero|Достичь 100-го уровня героем
chaosTower_desc|Clear a Chaos Tower|Зачистить Башню Хаоса
angelicRealm_desc|Enter the Angelic Realm|Войти в Ангельское Царство
valhallaRiver_desc|Slay the Jörmundgar in the Valhalla River|Убить Ёрмундгара в реке Вальхалла
valhallaRing_desc|Obtain the Soulforged Ring|Получить Кольцо Души
valhallaValkyrie_desc|Slay the Valkyrie in the Plains of Ida|Убить Валькирию на равнинах Иды
elemelon_desc|Obtain the Supreme Elemelon|Получить Высший Элемелон
seasonalHalloween_desc|Complete the Halloween quest chain|Завершить цепочку заданий Хэллоуина
seasonalChristmas_desc|Complete the Christmas quest chain|Завершить цепочку рождественских заданий
||
seasonFirst100SC|Reach level 100 in Softcore faster than everyone else!|Достигнуть 100-го уровня в обычном режиме быстрее всех!
seasonFirst100HC|Reach level 100 in Hardcore faster than everyone else!|Достигнуть 100-го уровня в героическом режиме быстрее всех!
seasonFirst100SCOdyssey|Reach level 100 in Softcore Odyssey faster than everyone else!|Достигнуть 100-го уровня в режиме Одиссея (обычный) быстрее всех!
seasonFirst100HCOdyssey|Reach level 100 in Hardcore Odyssey faster than everyone else!|Достигнуть 100-го уровня в режиме Одиссея (героический) быстрее всех!
||
infernoGurag_desc|Kill Gurag on inferno difficulty|Убить Гурага на сложности Инферно
infernoReaper_desc|Kill Grim Reaper on inferno difficulty|Убить Мрачного Жнеца на сложности Инферно
infernoAnubis_desc|Kill Anubis on inferno difficulty|Убить Анубиса на сложности Инферно
infernoDamien_desc|Kill Damien on inferno difficulty|Убить Дэмиена на сложности Инферно
infernoKarpKing_desc|Kill Karp King on inferno difficulty|Убить Карпа Кинга на сложности Инферно
infernoSatan_desc|Kill Satan on inferno difficulty|Убить Сатану на сложности Инферно
